"Instrument_Id","Product_Type","Processing_Level","Product_Subtype","Product_Subtype_Desc","Attr","Data_Type","Unit"
"WE","DER","Derived","RHS","Relative Humidity","LOCAL_RELATIVE_HUMIDITY","ASCII_Real","%RH"
"WE","DER","Derived","RHS","Relative Humidity","LOCAL_RELATIVE_HUMIDITY_UNCERTAINTY","ASCII_Real","%RH"
"WE","DER","Derived","RHS","Relative Humidity","HUMIDITY_LOCAL_TEMP","ASCII_Real","K"
"WE","DER","Derived","RHS","Relative Humidity","HUMIDITY_LOCAL_TEMP_UNCERTAINTY","ASCII_Real","K"
"WE","DER","Derived","RHS","Relative Humidity","VOLUME_MIXING_RATIO","ASCII_Real","ppm"
"WE","DER","Derived","RHS","Relative Humidity","VOLUME_MIXING_RATIO_UNCERTAINTY","ASCII_Real","ppm"
"WE","DER","Derived","TIRS","Thermal and Infrared","SCLK","ASCII_Real","s"
"WE","DER","Derived","TIRS","Thermal and Infrared","LMST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","TIRS","Thermal and Infrared","LTST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","TIRS","Thermal and Infrared","DOWNWARD_LW_IRRADIANCE","ASCII_Real","W/m2"
"WE","DER","Derived","TIRS","Thermal and Infrared","DOWNWARD_LW_IRRADIANCE_UNCERTAINTY","ASCII_Real","W/m2"
"WE","DER","Derived","TIRS","Thermal and Infrared","UPWARD_LW_IRRADIANCE","ASCII_Real","W/m2"
"WE","DER","Derived","TIRS","Thermal and Infrared","UPWARD_LW_UNCERTAINTY","ASCII_Real","W/m2"
"WE","DER","Derived","TIRS","Thermal and Infrared","RSM_HEAD_OUTSIDE_TIRS_UPWARD_LOOKING_FOV","ASCII_Integer","State"
"WE","DER","Derived","TIRS","Thermal and Infrared","WHEEL_OUTSIDE_TIRS_DOWNWARD_LOOKING_FOV","ASCII_Integer","State"
"WE","DER","Derived","TIRS","Thermal and Infrared","SUN_OUTSIDE_TIRS_FOV","ASCII_Integer","State"
"WE","DER","Derived","TIRS","Thermal and Infrared","ROVER_LOW_TILT","ASCII_Integer","State"
"WE","DER","Derived","TIRS","Thermal and Infrared","TIRS_GROUND_FOOTPRINT_NOT_IN_SHADOW","ASCII_Integer","State"
"WE","DER","Derived","TIRS","Thermal and Infrared","ROVER_HGA_OFF","ASCII_Integer","State"
"WE","DER","Derived","TIRS","Thermal and Infrared","SKYCAM_OFF","ASCII_Integer","State"
"WE","DER","Derived","TIRS","Thermal and Infrared","ROVER_STILL","ASCII_Integer","State"
"WE","DER","Derived","WS","Wind","SCLK","ASCII_Real","s"
"WE","DER","Derived","WS","Wind","LMST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","WS","Wind","LTST","ASCII_String","HH:mm:ss"
"WE","DER","Derived","WS","Wind","HORIZONTAL_WIND_SPEED","ASCII_Real","m/s"
"WE","DER","Derived","WS","Wind","HORIZONTAL_WIND_SPEED_UNCERTAINTY","ASCII_Real","m/s"
"WE","DER","Derived","WS","Wind","VERTICAL_WIND_SPEED","ASCII_Real","m/s"
"WE","DER","Derived","WS","Wind","VERTICAL_WIND_SPEED_UNCERTAINTY","ASCII_Real","m/s"
"WE","DER","Derived","WS","Wind","WIND_DIRECTION","ASCII_Real","deg"
"WE","DER","Derived","WS","Wind","WIND_DIRECTION_UNCERTAINTY","ASCII_Real","deg"
"WE","DER","Derived","WS","Wind","BOTH_BOOMS_USED_FOR_RETRIEVAL","ASCII_Integer","State"
"WE","DER","Derived","WS","Wind","ROVER_STILL","ASCII_Integer","State",""
